Wilayah,2018,2019,2020,2021,2022
SIMEULUE,18.22,17.67,17.34,18.25,17.86
ACEH SINGKIL,25.74,25.66,25.43,25.48,24.33
ACEH SELATAN,32.82,31.06,30.91,32.25,30.78
ACEH TENGGARA,30.20,28.93,28.98,29.31,28.42
ACEH TIMUR,61.64,62.79,62.34,63.69,62.16
ACEH TENGAH,32.31,32.78,32.48,32.72,31.50
ACEH BARAT,39.56,39.29,39.06,39.83,38.46
ACEH BESAR,60.08,58.90,59.70,60.26,58.18
PIDIE,89.53,86.29,86.39,88.53,85.87
BIREUEN,65.74,63.60,62.42,63.02,60.29
ACEH UTARA,111.27,107.34,106.41,109.49,107.02
ACEH BARAT DAYA,25.23,24.36,24.21,25.06,24.00
GAYO LUES,19.09,18.63,18.42,18.61,18.09
ACEH TAMIANG,41.21,39.35,38.93,40.03,38.25
NAGAN RAYA,31.06,29.93,29.99,30.71,29.63
ACEH JAYA,12.85,12.35,12.11,12.63,12.13
BENER MERIAH,29.08,28.45,28.38,28.69,27.93
PIDIE JAYA,31.72,30.97,31.39,31.79,30.41
BANDA ACEH,19.13,19.42,18.97,20.95,19.90
SABANG,5.62,5.43,5.27,5.33,5.14
LANGSA,18.73,18.62,18.65,19.78,19.41
LHOKSEUMAWE,23.88,23.05,22.69,23.38,23.03
SUBULUSSALAM,14.78,14.56,14.46,14.46,14.06
